,No.,Pos.,Player,Caps,Goals,Club,Country,Team,DOB,age
19,20,3MF,Giovani Lo Celso,5,0,Paris Saint-Germain,France,Argentina,1996-04-09,22
20,21,4FW,Paulo Dybala,12,0,Juventus,Italy,Argentina,1993-11-15,24
21,22,3MF,Cristian Pavón,5,0,Boca Juniors,Argentina,Argentina,1996-01-21,22
22,23,1GK,Willy Caballero,3,0,Chelsea,England,Argentina,1981-09-28,36
0,1,1GK,Dominik Livaković,1,0,Dinamo Zagreb,Croatia,Croatia,1995-01-09,23
1,2,2DF,Šime Vrsaljko,35,0,Atlético Madrid,Spain,Croatia,1992-01-10,26
2,3,2DF,Ivan Strinić,43,0,Sampdoria,Italy,Croatia,1987-07-17,30
3,4,4FW,Ivan Perišić,66,18,Inter Milan,Italy,Croatia,1989-02-02,29
4,5,2DF,Vedran Ćorluka,99,4,Lokomotiv Moscow,Russia,Croatia,1986-02-05,32
5,6,2DF,Dejan Lovren,39,2,Liverpool,England,Croatia,1989-07-05,28
6,7,3MF,Ivan Rakitić,92,14,Barcelona,Spain,Croatia,1988-03-10,30
7,8,3MF,Mateo Kovačić,41,1,Real Madrid,Spain,Croatia,1994-05-06,24
8,9,4FW,Andrej Kramarić,31,9,1899 Hoffenheim,Germany,Croatia,1991-06-19,26
9,10,3MF,Luka Modrić (captain),106,12,Real Madrid,Spain,Croatia,1985-09-09,32
10,11,3MF,Marcelo Brozović,35,6,Inter Milan,Italy,Croatia,1992-11-16,25
11,12,1GK,Lovre Kalinić,11,0,Gent,Belgium,Croatia,1990-04-03,28
12,13,2DF,Tin Jedvaj,12,0,Bayer Leverkusen,Germany,Croatia,1995-11-28,22
13,14,3MF,Filip Bradarić,4,0,Rijeka,Croatia,Croatia,1992-01-11,26
14,15,2DF,Duje Ćaleta-Car,1,0,Red Bull Salzburg,Austria,Croatia,1996-09-17,21
15,16,4FW,Nikola Kalinić,42,15,Milan,Italy,Croatia,1988-01-05,30
16,17,4FW,Mario Mandžukić,83,30,Juventus,Italy,Croatia,1986-05-21,32
17,18,4FW,Ante Rebić,16,1,Eintracht Frankfurt,Germany,Croatia,1993-09-21,24
18,19,3MF,Milan Badelj,38,1,Fiorentina,Italy,Croatia,1989-02-25,29
19,20,4FW,Marko Pjaca,16,1,Schalke 04,Germany,Croatia,1995-05-06,23
20,21,2DF,Domagoj Vida,59,2,Beşiktaş,Turkey,Croatia,1989-04-29,29
21,22,2DF,Josip Pivarić,19,0,Dynamo Kyiv,Ukraine,Croatia,1989-01-30,29
22,23,1GK,Danijel Subašić,38,0,Monaco,France,Croatia,1984-10-27,33
0,1,1GK,Hannes Þór Halldórsson,49,0,Randers,Denmark,Iceland,1984-04-27,34
1,2,2DF,Birkir Már Sævarsson,79,1,Valur,Iceland,Iceland,1984-11-11,33
2,3,3MF,Samúel Friðjónsson,4,0,Vålerenga,Norway,Iceland,1996-02-22,22
3,4,3MF,Albert Guðmundsson,5,3,PSV Eindhoven,Netherlands,Iceland,1997-06-15,20
4,5,2DF,Sverrir Ingi Ingason,20,3,Rostov,Russia,Iceland,1993-08-05,24
5,6,2DF,Ragnar Sigurðsson,77,3,Rostov,Russia,Iceland,1986-06-19,31
6,7,3MF,Jóhann Berg Guðmundsson,67,7,Burnley,England,Iceland,1990-10-27,27
7,8,3MF,Birkir Bjarnason,67,9,Aston Villa,England,Iceland,1988-05-27,30
8,9,4FW,Björn Bergmann Sigurðarson,12,1,Rostov,Russia,Iceland,1991-02-26,27
9,10,3MF,Gylfi Sigurðsson,57,19,Everton,England,Iceland,1989-09-08,28
10,11,4FW,Alfreð Finnbogason,47,13,FC Augsburg,Germany,Iceland,1989-02-01,29
11,12,1GK,Frederik Schram,4,0,Roskilde,Denmark,Iceland,1995-01-19,23
12,13,1GK,Rúnar Alex Rúnarsson,3,0,Nordsjælland,Denmark,Iceland,1995-02-18,23
13,14,2DF,Kári Árnason,67,5,Aberdeen,Scotland,Iceland,1982-10-13,35
14,15,2DF,Hólmar Örn Eyjólfsson,10,1,Levski Sofia,Bulgaria,Iceland,1990-08-06,27
15,16,3MF,Ólafur Ingi Skúlason,36,1,Kardemir Karabükspor,Turkey,Iceland,1983-04-01,35
16,17,3MF,Aron Gunnarsson (captain),77,2,Cardiff City,Wales,Iceland,1989-04-22,29
17,18,2DF,Hörður Björgvin Magnússon,16,2,Bristol City,England,Iceland,1993-02-11,25
18,19,3MF,Rúrik Gíslason,47,3,SV Sandhausen,Germany,Iceland,1988-02-25,30
19,20,3MF,Emil Hallfreðsson,64,1,Udinese,Italy,Iceland,1984-06-29,33
20,21,3MF,Arnór Ingvi Traustason,19,5,Malmö,Sweden,Iceland,1993-04-30,25
21,22,4FW,Jón Daði Böðvarsson,38,2,Reading,England,Iceland,1992-05-25,26
22,23,2DF,Ari Freyr Skúlason,56,0,Lokeren,Belgium,Iceland,1987-05-14,31
0,1,1GK,Ikechukwu Ezenwa,24,0,Enyimba,Nigeria,Nigeria,1988-10-16,29
1,2,2DF,Brian Idowu,5,1,Amkar Perm,Russia,Nigeria,1992-05-18,26
2,3,2DF,Elderson Echiéjilé,62,3,Cercle Brugge,Belgium,Nigeria,1988-01-20,30
3,4,3MF,Wilfred Ndidi,17,0,Leicester City,England,Nigeria,1996-12-16,21
4,5,2DF,William Troost-Ekong,22,1,Bursaspor,Turkey,Nigeria,1993-09-01,24
5,6,2DF,Leon Balogun,19,0,Mainz 05,Germany,Nigeria,1988-06-28,29
6,7,4FW,Ahmed Musa,72,13,CSKA Moscow,Russia,Nigeria,1992-10-14,25
7,8,3MF,Oghenekaro Etebo,14,1,Las Palmas,Spain,Nigeria,1995-11-09,22
8,9,4FW,Odion Ighalo,19,4,Changchun Yatai,China,Nigeria,1989-06-16,28
9,10,3MF,John Obi Mikel (captain),85,6,Tianjin TEDA,China,Nigeria,1987-04-22,31
10,11,4FW,Victor Moses,34,11,Chelsea,England,Nigeria,1990-12-12,27
11,12,2DF,Shehu Abdullahi,25,0,Bursaspor,Turkey,Nigeria,1993-03-12,25
12,13,4FW,Simeon Nwankwo,2,0,Crotone,Italy,Nigeria,1992-05-07,26
13,14,4FW,Kelechi Iheanacho,18,8,Leicester City,England,Nigeria,1996-03-10,22
14,15,3MF,Joel Obi,17,0,Torino,Italy,Nigeria,1991-05-22,27
15,16,1GK,Daniel Akpeyi,7,0,Chippa United,South Africa,Nigeria,1986-03-08,32
16,17,3MF,Ogenyi Onazi,52,1,Trabzonspor,Turkey,Nigeria,1992-12-25,25
17,18,4FW,Alex Iwobi,19,5,Arsenal,England,Nigeria,1996-05-03,22
18,19,3MF,John Ogu,20,2,Hapoel Be'er Sheva,Israel,Nigeria,1988-04-20,30
19,20,2DF,Chidozie Awaziem,4,0,Nantes,France,Nigeria,1997-01-01,21
20,21,2DF,Tyronne Ebuehi,7,0,ADO Den Haag,Netherlands,Nigeria,1995-12-16,22
21,22,2DF,Kenneth Omeruo,39,0,Kasımpaşa,Turkey,Nigeria,1993-10-17,24
22,23,1GK,Francis Uzoho,6,0,Deportivo La Coruña,Spain,Nigeria,1998-10-28,19
0,1,1GK,Alisson,26,0,Roma,Italy,Brazil,1992-10-02,25
1,2,2DF,Thiago Silva,71,5,Paris Saint-Germain,France,Brazil,1984-09-22,33
2,3,2DF,Miranda,47,2,Inter Milan,Italy,Brazil,1984-09-07,33
3,4,2DF,Pedro Geromel,2,0,Grêmio,Brazil,Brazil,1985-09-21,32
4,5,3MF,Casemiro,24,0,Real Madrid,Spain,Brazil,1992-02-23,26
5,6,2DF,Filipe Luís,33,2,Atlético Madrid,Spain,Brazil,1985-08-09,32
6,7,4FW,Douglas Costa,25,3,Juventus,Italy,Brazil,1990-09-14,27
7,8,3MF,Renato Augusto,28,5,Beijing Sinobo Guoan,China,Brazil,1988-02-08,30
8,9,4FW,Gabriel Jesus,17,10,Manchester City,England,Brazil,1997-04-03,21
9,10,4FW,Neymar (captain),85,55,Paris Saint-Germain,France,Brazil,1992-02-05,26
10,11,3MF,Philippe Coutinho,37,10,Barcelona,Spain,Brazil,1992-06-12,26
11,12,2DF,Marcelo,54,6,Real Madrid,Spain,Brazil,1988-05-12,30
12,13,2DF,Marquinhos,26,0,Paris Saint-Germain,France,Brazil,1994-05-14,24
13,14,2DF,Danilo,18,0,Manchester City,England,Brazil,1991-07-15,26
14,15,3MF,Paulinho,50,12,Barcelona,Spain,Brazil,1988-07-25,29
15,16,1GK,Cássio,1,0,Corinthians,Brazil,Brazil,1987-06-06,31
16,17,3MF,Fernandinho,44,2,Manchester City,England,Brazil,1985-05-04,33
17,18,3MF,Fred,8,0,Shakhtar Donetsk,Ukraine,Brazil,1993-03-05,25
18,19,3MF,Willian,57,8,Chelsea,England,Brazil,1988-08-09,29
19,20,4FW,Roberto Firmino,21,6,Liverpool,England,Brazil,1991-10-02,26
20,21,4FW,Taison,8,1,Shakhtar Donetsk,Ukraine,Brazil,1988-01-13,30
21,22,2DF,Fagner,4,0,Corinthians,Brazil,Brazil,1989-06-11,29
22,23,1GK,Ederson,1,0,Manchester City,England,Brazil,1993-08-17,24
0,1,1GK,Keylor Navas,81,0,Real Madrid,Spain,Costa Rica,1986-12-15,31
1,2,2DF,Johnny Acosta,69,2,Águilas Doradas,Colombia,Costa Rica,1983-07-21,34
2,3,2DF,Giancarlo González,70,2,Bologna,Italy,Costa Rica,1988-02-08,30
3,4,2DF,Ian Smith,4,0,Norrköping,Sweden,Costa Rica,1998-03-06,20
4,5,3MF,Celso Borges,113,21,Deportivo La Coruña,Spain,Costa Rica,1988-05-27,30
5,6,2DF,Óscar Duarte,39,2,Espanyol,Spain,Costa Rica,1989-06-03,29
6,7,3MF,Christian Bolaños,81,6,Saprissa,Costa Rica,Costa Rica,1984-05-17,34
7,8,2DF,Bryan Oviedo,44,1,Sunderland,England,Costa Rica,1990-02-18,28
8,9,3MF,Daniel Colindres,11,0,Saprissa,Costa Rica,Costa Rica,1985-01-10,33
9,10,3MF,Bryan Ruiz (captain),110,24,Sporting CP,Portugal,Costa Rica,1985-08-18,32
10,11,4FW,Johan Venegas,47,10,Saprissa,Costa Rica,Costa Rica,1988-11-27,29
11,12,4FW,Joel Campbell,77,15,Real Betis,Spain,Costa Rica,1992-06-26,25
12,13,3MF,Rodney Wallace,30,4,New York City FC,United States,Costa Rica,1988-06-17,29
13,14,3MF,Randall Azofeifa,58,3,Herediano,Costa Rica,Costa Rica,1984-12-30,33
14,15,2DF,Francisco Calvo,38,4,Minnesota United,United States,Costa Rica,1992-07-08,25
15,16,2DF,Cristian Gamboa,68,3,Celtic,Scotland,Costa Rica,1989-10-24,28
16,17,3MF,Yeltsin Tejeda,51,0,Lausanne,Switzerland,Costa Rica,1992-03-17,26
17,18,1GK,Patrick Pemberton,39,0,Alajuelense,Costa Rica,Costa Rica,1982-04-24,36
18,19,2DF,Kendall Waston,26,3,Vancouver Whitecaps FC,Canada,Costa Rica,1988-01-01,30
19,20,3MF,David Guzmán,43,0,Portland Timbers,United States,Costa Rica,1990-02-18,28
20,21,4FW,Marco Ureña,64,15,Los Angeles FC,United States,Costa Rica,1990-03-05,28
21,22,2DF,Rónald Matarrita,23,2,New York City FC,United States,Costa Rica,1994-07-09,23
22,23,1GK,Leonel Moreira,9,0,Herediano,Costa Rica,Costa Rica,1990-04-02,28
0,1,1GK,Vladimir Stojković,81,0,Partizan,Serbia,Serbia,1983-07-28,34
1,2,2DF,Antonio Rukavina,47,0,Villarreal,Spain,Serbia,1984-01-26,34
2,3,2DF,Duško Tošić,24,1,Beşiktaş,Turkey,Serbia,1985-01-19,33
3,4,3MF,Luka Milivojević,28,1,Crystal Palace,England,Serbia,1991-04-07,27
4,5,2DF,Uroš Spajić,5,0,Anderlecht,Belgium,Serbia,1993-02-13,25
5,6,2DF,Branislav Ivanović,103,13,Zenit Saint Petersburg,Russia,Serbia,1984-02-22,34
6,7,3MF,Andrija Živković,10,0,Benfica,Portugal,Serbia,1996-07-11,21
7,8,4FW,Aleksandar Prijović,9,1,PAOK,Greece,Serbia,1990-04-21,28
8,9,4FW,Aleksandar Mitrović,37,16,Fulham,England,Serbia,1994-09-16,23
9,10,3MF,Dušan Tadić,53,13,Southampton,England,Serbia,1988-11-20,29
10,11,2DF,Aleksandar Kolarov (captain),76,10,Roma,Italy,Serbia,1985-11-10,32
11,12,1GK,Predrag Rajković,8,0,Maccabi Tel Aviv,Israel,Serbia,1995-10-31,22
12,13,2DF,Miloš Veljković,2,0,Werder Bremen,Germany,Serbia,1995-09-26,22
13,14,2DF,Milan Rodić,1,0,Red Star Belgrade,Serbia,Serbia,1991-04-02,27
14,15,2DF,Nikola Milenković,3,0,Fiorentina,Italy,Serbia,1997-10-12,20
15,16,3MF,Marko Grujić,8,0,Cardiff City,Wales,Serbia,1996-04-13,22
16,17,3MF,Filip Kostić,23,2,Hamburger SV,Germany,Serbia,1992-11-01,25
17,18,4FW,Nemanja Radonjić,3,0,Red Star Belgrade,Serbia,Serbia,1996-02-15,22
18,19,4FW,Luka Jović,1,0,Eintracht Frankfurt,Germany,Serbia,1997-12-23,20
19,20,3MF,Sergej Milinković-Savić,4,0,Lazio,Italy,Serbia,1995-02-27,23
20,21,3MF,Nemanja Matić,40,2,Manchester United,England,Serbia,1988-08-01,29
21,22,3MF,Adem Ljajić,29,6,Torino,Italy,Serbia,1991-09-29,26
22,23,1GK,Marko Dmitrović,2,0,Eibar,Spain,Serbia,1992-01-24,26
0,1,1GK,Yann Sommer,35,0,Borussia Mönchengladbach,Germany,Switzerland,1988-12-17,29
1,2,2DF,Stephan Lichtsteiner (captain),100,8,Juventus,Italy,Switzerland,1984-01-16,34
2,3,2DF,François Moubandje,18,0,Toulouse,France,Switzerland,1990-06-21,27
3,4,2DF,Nico Elvedi,6,0,Borussia Mönchengladbach,Germany,Switzerland,1996-09-30,21
4,5,2DF,Manuel Akanji,7,0,Borussia Dortmund,Germany,Switzerland,1995-07-19,22
5,6,2DF,Michael Lang,24,2,Basel,Switzerland,Switzerland,1991-02-08,27
6,7,4FW,Breel Embolo,25,3,Schalke 04,Germany,Switzerland,1997-02-14,21
7,8,3MF,Remo Freuler,10,0,Atalanta,Italy,Switzerland,1992-04-15,26
8,9,4FW,Haris Seferović,51,12,Benfica,Portugal,Switzerland,1992-02-22,26
9,10,3MF,Granit Xhaka,62,9,Arsenal,England,Switzerland,1992-09-27,25
10,11,3MF,Valon Behrami,79,2,Udinese,Italy,Switzerland,1985-04-19,33
11,12,1GK,Yvon Mvogo,0,0,RB Leipzig,Germany,Switzerland,1994-06-06,24
12,13,2DF,Ricardo Rodríguez,53,5,Milan,Italy,Switzerland,1992-08-25,25
13,14,3MF,Steven Zuber,12,3,1899 Hoffenheim,Germany,Switzerland,1991-08-17,26
14,15,3MF,Blerim Džemaili,65,9,Bologna,Italy,Switzerland,1986-04-12,32
15,16,3MF,Gelson Fernandes,67,2,Eintracht Frankfurt,Germany,Switzerland,1986-09-02,31
16,17,3MF,Denis Zakaria,10,0,Borussia Mönchengladbach,Germany,Switzerland,1996-11-20,21
17,18,4FW,Mario Gavranović,14,5,Dinamo Zagreb,Croatia,Switzerland,1989-11-24,28
18,19,4FW,Josip Drmić,29,9,Borussia Mönchengladbach,Germany,Switzerland,1992-08-08,25
19,20,2DF,Johan Djourou,74,2,Antalyaspor,Turkey,Switzerland,1987-01-18,31
20,21,1GK,Roman Bürki,9,0,Borussia Dortmund,Germany,Switzerland,1990-11-14,27
21,22,2DF,Fabian Schär,39,7,Deportivo La Coruña,Spain,Switzerland,1991-12-20,26
22,23,3MF,Xherdan Shaqiri,70,20,Stoke City,England,Switzerland,1991-10-10,26
0,1,1GK,Manuel Neuer (captain),76,0,Bayern Munich,Germany,Germany,1986-03-27,32
1,2,2DF,Marvin Plattenhardt,6,0,Hertha BSC,Germany,Germany,1992-01-26,26
2,3,2DF,Jonas Hector,38,3,1. FC Köln,Germany,Germany,1990-05-27,28
3,4,2DF,Matthias Ginter,18,0,Borussia Mönchengladbach,Germany,Germany,1994-01-19,24
4,5,2DF,Mats Hummels,64,5,Bayern Munich,Germany,Germany,1988-12-16,29
5,6,3MF,Sami Khedira,75,7,Juventus,Italy,Germany,1987-04-04,31
6,7,3MF,Julian Draxler,44,6,Paris Saint-Germain,France,Germany,1993-09-20,24
7,8,3MF,Toni Kroos,83,12,Real Madrid,Spain,Germany,1990-01-04,28
8,9,4FW,Timo Werner,14,8,RB Leipzig,Germany,Germany,1996-03-06,22
9,10,3MF,Mesut Özil,90,23,Arsenal,England,Germany,1988-10-15,29
10,11,4FW,Marco Reus,31,9,Borussia Dortmund,Germany,Germany,1989-05-31,29
11,12,1GK,Kevin Trapp,3,0,Paris Saint-Germain,France,Germany,1990-07-08,27
12,13,3MF,Thomas Müller,91,38,Bayern Munich,Germany,Germany,1989-09-13,28
13,14,3MF,Leon Goretzka,15,6,Schalke 04,Germany,Germany,1995-02-06,23
14,15,2DF,Niklas Süle,11,0,Bayern Munich,Germany,Germany,1995-09-03,22
15,16,2DF,Antonio Rüdiger,24,1,Chelsea,England,Germany,1993-03-03,25
16,17,2DF,Jérôme Boateng,71,1,Bayern Munich,Germany,Germany,1988-09-03,29
17,18,2DF,Joshua Kimmich,29,3,Bayern Munich,Germany,Germany,1995-02-08,23
18,19,3MF,Sebastian Rudy,25,1,Bayern Munich,Germany,Germany,1990-02-28,28
19,20,3MF,Julian Brandt,16,1,Bayer Leverkusen,Germany,Germany,1996-05-02,22
20,21,3MF,İlkay Gündoğan,26,4,Manchester City,England,Germany,1990-10-24,27
21,22,1GK,Marc-André ter Stegen,20,0,Barcelona,Spain,Germany,1992-04-30,26
22,23,4FW,Mario Gómez,75,31,VfB Stuttgart,Germany,Germany,1985-07-10,32
0,1,1GK,José de Jesús Corona,52,0,Cruz Azul,Mexico,Mexico,1981-01-26,37
1,2,2DF,Hugo Ayala,43,1,UANL,Mexico,Mexico,1987-03-31,31
2,3,2DF,Carlos Salcedo,21,0,Eintracht Frankfurt,Germany,Mexico,1993-09-29,24
3,4,2DF,Rafael Márquez,145,18,Atlas,Mexico,Mexico,1979-02-13,39
4,5,3MF,Érick Gutiérrez,9,0,Pachuca,Mexico,Mexico,1995-06-15,22
5,6,3MF,Jonathan dos Santos,32,0,LA Galaxy,United States,Mexico,1990-04-26,28
6,7,3MF,Miguel Layún,64,6,Sevilla,Spain,Mexico,1988-06-25,29
7,8,4FW,Marco Fabián,39,9,Eintracht Frankfurt,Germany,Mexico,1989-07-21,28
8,9,4FW,Raúl Jiménez,63,13,Benfica,Portugal,Mexico,1991-05-05,27
9,10,3MF,Giovani dos Santos,105,19,LA Galaxy,United States,Mexico,1989-05-11,29
10,11,4FW,Carlos Vela,68,18,Los Angeles FC,United States,Mexico,1989-03-01,29
11,12,1GK,Alfredo Talavera,27,0,Toluca,Mexico,Mexico,1982-09-18,35
12,13,1GK,Guillermo Ochoa,94,0,Standard Liège,Belgium,Mexico,1985-07-13,32
13,14,4FW,Javier Hernández,102,49,West Ham United,England,Mexico,1988-06-01,30
14,15,2DF,Héctor Moreno,92,3,Real Sociedad,Spain,Mexico,1988-01-17,30
15,16,2DF,Héctor Herrera,66,5,Porto,Portugal,Mexico,1990-04-19,28
16,17,3MF,Jesús Manuel Corona,36,7,Porto,Portugal,Mexico,1993-01-06,25
17,18,3MF,Andrés Guardado (captain),145,25,Real Betis,Spain,Mexico,1986-09-28,31
18,19,4FW,Oribe Peralta,67,26,América,Mexico,Mexico,1984-01-12,34
19,20,3MF,Javier Aquino,53,0,UANL,Mexico,Mexico,1990-02-11,28
20,21,2DF,Edson Álvarez,13,1,América,Mexico,Mexico,1997-10-24,20
21,22,4FW,Hirving Lozano,28,7,PSV Eindhoven,Netherlands,Mexico,1995-07-30,22
22,23,3MF,Jesús Gallardo,23,0,UNAM,Mexico,Mexico,1994-08-15,23
0,1,1GK,Kim Seung-gyu,33,0,Vissel Kobe,Japan,South Korea,1990-09-30,27
1,2,2DF,Lee Yong,28,0,Jeonbuk Hyundai Motors,South Korea,South Korea,1986-12-24,31
2,3,2DF,Jung Seung-hyun,6,0,Sagan Tosu,Japan,South Korea,1994-04-03,24
3,4,2DF,Oh Ban-suk,2,0,Jeju United,South Korea,South Korea,1988-05-20,30
4,5,2DF,Yun Young-sun,6,0,Seongnam FC,South Korea,South Korea,1988-10-04,29
5,6,2DF,Park Joo-ho,36,0,Ulsan Hyundai,South Korea,South Korea,1987-01-16,31
6,7,4FW,Son Heung-min,67,21,Tottenham Hotspur,England,South Korea,1992-07-08,25
7,8,3MF,Ju Se-jong,11,1,Asan Mugunghwa,South Korea,South Korea,1990-10-30,27
8,9,4FW,Kim Shin-wook,50,10,Jeonbuk Hyundai Motors,South Korea,South Korea,1988-04-14,30
9,10,3MF,Lee Seung-woo,4,0,Hellas Verona,Italy,South Korea,1998-01-06,20
10,11,4FW,Hwang Hee-chan,14,2,Red Bull Salzburg,Austria,South Korea,1996-01-26,22
11,12,2DF,Kim Min-woo,20,1,Sangju Sangmu,South Korea,South Korea,1990-02-25,28
12,13,3MF,Koo Ja-cheol,68,19,FC Augsburg,Germany,South Korea,1989-02-27,29
13,14,2DF,Hong Chul,14,0,Sangju Sangmu,South Korea,South Korea,1990-09-17,27
14,15,3MF,Jung Woo-young,30,1,Vissel Kobe,Japan,South Korea,1989-12-14,28
15,16,3MF,Ki Sung-yueng (captain),102,10,Swansea City,Wales,South Korea,1989-01-24,29
16,17,3MF,Lee Jae-sung,35,6,Jeonbuk Hyundai Motors,South Korea,South Korea,1992-08-10,25
17,18,3MF,Moon Seon-min,3,1,Incheon United,South Korea,South Korea,1992-06-09,26
18,19,2DF,Kim Young-gwon,53,2,Guangzhou Evergrande,China,South Korea,1990-02-27,28
19,20,2DF,Jang Hyun-soo,51,3,FC Tokyo,Japan,South Korea,1991-09-28,26
20,21,1GK,Kim Jin-hyeon,15,0,Cerezo Osaka,Japan,South Korea,1987-07-06,30
21,22,2DF,Go Yo-han,20,0,FC Seoul,South Korea,South Korea,1988-03-10,30
22,23,1GK,Cho Hyun-woo,6,0,Daegu FC,South Korea,South Korea,1991-09-25,26
0,1,1GK,Robin Olsen,18,0,Copenhagen,Denmark,Sweden,1990-01-08,28
1,2,2DF,Mikael Lustig,66,6,Celtic,Scotland,Sweden,1986-12-13,31
2,3,2DF,Victor Lindelöf,21,1,Manchester United,England,Sweden,1994-07-17,23
3,4,2DF,Andreas Granqvist (captain),72,6,Krasnodar,Russia,Sweden,1985-04-16,33
4,5,2DF,Martin Olsson,43,5,Swansea City,Wales,Sweden,1988-05-17,30
5,6,2DF,Ludwig Augustinsson,15,0,Werder Bremen,Germany,Sweden,1994-04-21,24
6,7,3MF,Sebastian Larsson,100,6,Hull City,England,Sweden,1985-06-06,33
7,8,3MF,Albin Ekdal,34,0,Hamburger SV,Germany,Sweden,1989-07-28,28
8,9,4FW,Marcus Berg,57,18,Al Ain,United Arab Emirates,Sweden,1986-08-17,31
9,10,3MF,Emil Forsberg,36,6,RB Leipzig,Germany,Sweden,1991-10-23,26
10,11,4FW,John Guidetti,20,1,Alavés,Spain,Sweden,1992-04-15,26
11,12,1GK,Karl-Johan Johnsson,5,0,Guingamp,France,Sweden,1990-01-28,28
12,13,3MF,Gustav Svensson,13,0,Seattle Sounders FC,United States,Sweden,1987-02-07,31
13,14,2DF,Filip Helander,4,0,Bologna,Italy,Sweden,1993-04-22,25
14,15,3MF,Oscar Hiljemark,22,2,Genoa,Italy,Sweden,1992-06-28,25
15,16,2DF,Emil Krafth,13,0,Bologna,Italy,Sweden,1994-08-02,23
16,17,3MF,Viktor Claesson,22,3,Krasnodar,Russia,Sweden,1992-01-02,26
17,18,2DF,Pontus Jansson,15,0,Leeds United,England,Sweden,1991-02-13,27
18,19,3MF,Marcus Rohdén,12,1,Crotone,Italy,Sweden,1991-05-11,27
19,20,4FW,Ola Toivonen,59,13,Toulouse,France,Sweden,1986-07-03,31
20,21,3MF,Jimmy Durmaz,45,3,Toulouse,France,Sweden,1989-03-22,29
21,22,4FW,Isaac Kiese Thelin,20,2,Waasland-Beveren,Belgium,Sweden,1992-06-24,25
22,23,1GK,Kristoffer Nordfeldt,8,0,Swansea City,Wales,Sweden,1989-06-23,28
0,1,1GK,Thibaut Courtois,58,0,Chelsea,England,Belgium,1992-05-11,26
1,2,2DF,Toby Alderweireld,74,3,Tottenham Hotspur,England,Belgium,1989-03-02,29
2,3,2DF,Thomas Vermaelen,64,1,Barcelona,Spain,Belgium,1985-11-14,32
3,4,2DF,Vincent Kompany,74,4,Manchester City,England,Belgium,1986-04-10,32
4,5,2DF,Jan Vertonghen,102,8,Tottenham Hotspur,England,Belgium,1987-04-24,31
5,6,3MF,Axel Witsel,87,9,Tianjin Quanjian,China,Belgium,1989-01-12,29
6,7,3MF,Kevin De Bruyne,59,13,Manchester City,England,Belgium,1991-06-28,26
7,8,3MF,Marouane Fellaini,80,17,Manchester United,England,Belgium,1987-11-22,30
8,9,4FW,Romelu Lukaku,66,33,Manchester United,England,Belgium,1993-05-13,25
9,10,4FW,Eden Hazard (captain),84,22,Chelsea,England,Belgium,1991-01-07,27
10,11,3MF,Yannick Carrasco,25,5,Dalian Yifang,China,Belgium,1993-09-04,24
11,12,1GK,Simon Mignolet,21,0,Liverpool,England,Belgium,1988-03-06,30
12,13,1GK,Koen Casteels,0,0,VfL Wolfsburg,Germany,Belgium,1992-06-25,25
13,14,4FW,Dries Mertens,67,14,Napoli,Italy,Belgium,1987-05-06,31
14,15,2DF,Thomas Meunier,25,5,Paris Saint-Germain,France,Belgium,1991-09-12,26
15,16,3MF,Thorgan Hazard,10,1,Borussia Mönchengladbach,Germany,Belgium,1993-03-29,25
16,17,3MF,Youri Tielemans,8,0,Monaco,France,Belgium,1997-05-07,21
17,18,4FW,Adnan Januzaj,8,0,Real Sociedad,Spain,Belgium,1995-02-05,23
18,19,3MF,Mousa Dembélé,75,5,Tottenham Hotspur,England,Belgium,1987-07-16,30
19,20,2DF,Dedryck Boyata,7,0,Celtic,Scotland,Belgium,1990-11-28,27
20,21,4FW,Michy Batshuayi,15,6,Borussia Dortmund,Germany,Belgium,1993-10-02,24
21,22,3MF,Nacer Chadli,43,4,West Bromwich Albion,England,Belgium,1989-08-02,28
22,23,2DF,Leander Dendoncker,5,0,Anderlecht,Belgium,Belgium,1995-04-15,23
0,1,1GK,Jordan Pickford,3,0,Everton,England,England,1994-03-07,24
1,2,2DF,Kyle Walker,35,0,Manchester City,England,England,1990-05-28,28
2,3,2DF,Danny Rose,18,0,Tottenham Hotspur,England,England,1990-07-02,27
3,4,3MF,Eric Dier,26,3,Tottenham Hotspur,England,England,1994-01-15,24
4,5,2DF,John Stones,26,0,Manchester City,England,England,1994-05-28,24
5,6,2DF,Harry Maguire,5,0,Leicester City,England,England,1993-03-05,25
6,7,3MF,Jesse Lingard,12,1,Manchester United,England,England,1992-12-15,25
7,8,3MF,Jordan Henderson,39,0,Liverpool,England,England,1990-06-17,27
8,9,4FW,Harry Kane (captain),24,13,Tottenham Hotspur,England,England,1993-07-28,24
9,10,4FW,Raheem Sterling,38,2,Manchester City,England,England,1994-12-08,23
10,11,4FW,Jamie Vardy,22,7,Leicester City,England,England,1987-01-11,31
11,12,2DF,Kieran Trippier,7,0,Tottenham Hotspur,England,England,1990-09-19,27
12,13,1GK,Jack Butland,8,0,Stoke City,England,England,1993-03-10,25
13,14,4FW,Danny Welbeck,39,16,Arsenal,England,England,1990-11-26,27
14,15,2DF,Gary Cahill,60,5,Chelsea,England,England,1985-12-19,32
15,16,2DF,Phil Jones,25,0,Manchester United,England,England,1992-02-21,26
16,17,2DF,Fabian Delph,11,0,Manchester City,England,England,1989-11-21,28
